Outline Level,ID,Name,Start,Finish,Duration,% Complete,Predecessors,Resource Names,Color,Notes
1,1,"TFG Wuxia",2025-08-01,2026-06-17,229 day,100,"","",,""
2,2,"Ciclo I",2025-08-01,2025-09-10,29 day,100,"","",,""
3,4,"Real",2025-08-01,2025-09-10,29 day,100,"","",121,""
2,5,"Ciclo II",2025-09-11,2025-10-06,18 day,100,"","",,""
3,7,"Real",2025-09-11,2025-10-06,18 day,100,"4FS","",121,""
2,8,"Ciclo III",2025-10-07,2025-12-16,51 day,100,"","",,""
3,9,"Planificado",2025-10-07,2025-11-26,37 day,100,"7FS","",181,""
3,10,"Real (Retraso)",2025-10-07,2025-12-16,51 day,100,"7FS","",301,""
2,11,"Ciclo IV",2025-12-17,2026-02-11,41 day,100,"","",,""
3,13,"Real",2025-12-17,2026-02-11,41 day,100,"10FS","",121,""
2,14,"Ciclo V",2026-02-12,2026-04-21,49 day,100,"","",,""
3,15,"Planificado",2026-02-12,2026-04-01,35 day,100,"13FS","",181,""
3,16,"Real (Retraso)",2026-02-12,2026-04-21,49 day,100,"13FS","",301,""
2,17,"Ciclo VI",2026-04-22,2026-05-18,19 day,100,"","",,""
3,19,"Real",2026-04-22,2026-05-18,19 day,100,"16FS","",121,""
2,20,"Ciclo VII",2026-05-19,2026-06-17,22 day,100,"","",,""
3,22,"Real",2026-05-19,2026-06-17,22 day,100,"19FS","",121,""
